file	field	type	decorators
/opt/rh-saas/backend/src/modules/schedules/employee-schedule.entity.ts	id	string	@PrimaryGeneratedColumn('uuid')
/opt/rh-saas/backend/src/modules/schedules/employee-schedule.entity.ts	tenantId	string	@Column({ name: 'tenant_id' })
/opt/rh-saas/backend/src/modules/schedules/employee-schedule.entity.ts	employeeId	string	@Column({ name: 'employee_id' })
/opt/rh-saas/backend/src/modules/schedules/employee-schedule.entity.ts	schedule	Schedule	@ManyToOne(() => Schedule) @JoinColumn({ name: 'schedule_id' })
/opt/rh-saas/backend/src/modules/schedules/employee-schedule.entity.ts	scheduleId	string	@Column({ name: 'schedule_id' })
/opt/rh-saas/backend/src/modules/schedules/employee-schedule.entity.ts	startDate	string	@Column({ name: 'start_date', type: 'date' })
/opt/rh-saas/backend/src/modules/schedules/employee-schedule.entity.ts	endDate	string	@Column({ name: 'end_date', type: 'date', nullable: true })
/opt/rh-saas/backend/src/modules/schedules/schedule.entity.ts	id	string	@PrimaryGeneratedColumn('uuid')
/opt/rh-saas/backend/src/modules/schedules/schedule.entity.ts	tenantId	string	@Column({ name: 'tenant_id' })
/opt/rh-saas/backend/src/modules/schedules/schedule.entity.ts	name	string	@Column()
/opt/rh-saas/backend/src/modules/schedules/schedule.entity.ts	type	ScheduleType	@Column({ type: 'enum', enum: ScheduleType, default: ScheduleType.FIXED })
/opt/rh-saas/backend/src/modules/schedules/schedule.entity.ts	workDays	number[]	@Column({ type: 'jsonb', nullable: true })
/opt/rh-saas/backend/src/modules/schedules/schedule.entity.ts	expectedMinutesPerDay	number	@Column({ name: 'expected_minutes_per_day', type: 'int', default: 480 })
/opt/rh-saas/backend/src/modules/schedules/schedule.entity.ts	dailyToleranceMinutes	number	@Column({ name: 'daily_tolerance_minutes', type: 'int', default: 10 })
/opt/rh-saas/backend/src/modules/schedules/schedule.entity.ts	entry1	string	@Column({ nullable: true })
/opt/rh-saas/backend/src/modules/schedules/schedule.entity.ts	exit1	string	@Column({ nullable: true })
/opt/rh-saas/backend/src/modules/schedules/schedule.entity.ts	entry2	string	@Column({ nullable: true })
/opt/rh-saas/backend/src/modules/schedules/schedule.entity.ts	exit2	string	@Column({ nullable: true })
/opt/rh-saas/backend/src/modules/schedules/schedule.entity.ts	expectedMinutes	number	@Column({ name: 'expected_minutes', type: 'int', default: 480 })
/opt/rh-saas/backend/src/modules/tenant/tenant.entity.ts	id	string	@PrimaryGeneratedColumn('uuid')
/opt/rh-saas/backend/src/modules/tenant/tenant.entity.ts	cnpj	string	@Column({ unique: true, length: 14 })
/opt/rh-saas/backend/src/modules/tenant/tenant.entity.ts	name	'corporate_name',	@Column({
/opt/rh-saas/backend/src/modules/tenant/tenant.entity.ts	corporateName	string	
/opt/rh-saas/backend/src/modules/tenant/tenant.entity.ts	name	'trading_name',	@Column({
/opt/rh-saas/backend/src/modules/tenant/tenant.entity.ts	tradingName	string	
/opt/rh-saas/backend/src/modules/tenant/tenant.entity.ts	name	'is_active',	@Column({
/opt/rh-saas/backend/src/modules/tenant/tenant.entity.ts	nullable	true,	@Column({
/opt/rh-saas/backend/src/modules/tenant/tenant.entity.ts	phone	string	
/opt/rh-saas/backend/src/modules/tenant/tenant.entity.ts	nullable	true,	@Column({
/opt/rh-saas/backend/src/modules/tenant/tenant.entity.ts	email	string	
/opt/rh-saas/backend/src/modules/tenant/tenant.entity.ts	nullable	true,	@Column({
/opt/rh-saas/backend/src/modules/tenant/tenant.entity.ts	nullable	true,	@Column({
/opt/rh-saas/backend/src/modules/tenant/tenant.entity.ts	nullable	true,	@Column({
/opt/rh-saas/backend/src/modules/tenant/tenant.entity.ts	name	'hr_manager',	
/opt/rh-saas/backend/src/modules/tenant/tenant.entity.ts	nullable	true,	@Column({
/opt/rh-saas/backend/src/modules/tenant/tenant.entity.ts	name	'logo_url',	
/opt/rh-saas/backend/src/modules/tenant/tenant.entity.ts	name	'created_at',	@CreateDateColumn({
/opt/rh-saas/backend/src/modules/tenant/tenant.entity.ts	name	'updated_at',	@UpdateDateColumn({
/opt/rh-saas/backend/src/modules/time-bank/time-bank.entity.ts	id	string	@PrimaryGeneratedColumn('uuid')
/opt/rh-saas/backend/src/modules/time-bank/time-bank.entity.ts	tenantId	string	@Column({ name: 'tenant_id' })
/opt/rh-saas/backend/src/modules/time-bank/time-bank.entity.ts	employeeId	string	@Column({ name: 'employee_id' })
/opt/rh-saas/backend/src/modules/time-bank/time-bank.entity.ts	date	string	@Column({ type: 'date' })
/opt/rh-saas/backend/src/modules/time-bank/time-bank.entity.ts	expectedMinutes	number	@Column({ name: 'expected_minutes', type: 'int' })
/opt/rh-saas/backend/src/modules/time-bank/time-bank.entity.ts	workedMinutes	number	@Column({ name: 'worked_minutes', type: 'int', default: 0 })
/opt/rh-saas/backend/src/modules/time-bank/time-bank.entity.ts	balanceMinutes	number	@Column({ name: 'balance_minutes', type: 'int', default: 0 })
/opt/rh-saas/backend/src/modules/time-bank/time-bank.entity.ts	status	string	@Column({ default: 'OPEN' })
/opt/rh-saas/backend/src/modules/time-bank/time-bank.entity.ts	createdAt	Date	@CreateDateColumn({ name: 'created_at' })
/opt/rh-saas/backend/src/modules/time-bank/time-bank.entity.ts	updatedAt	Date	@UpdateDateColumn({ name: 'updated_at' })
/opt/rh-saas/backend/src/modules/time-records/time-record.entity.ts	id	string	@PrimaryGeneratedColumn('uuid')
/opt/rh-saas/backend/src/modules/time-records/time-record.entity.ts	tenantId	string	@Column({ name: 'tenant_id' })
/opt/rh-saas/backend/src/modules/time-records/time-record.entity.ts	name	'employee_id',	@Column({
/opt/rh-saas/backend/src/modules/time-records/time-record.entity.ts	employeeId	string	
/opt/rh-saas/backend/src/modules/time-records/time-record.entity.ts	type	'decimal',	@Column({
/opt/rh-saas/backend/src/modules/time-records/time-record.entity.ts	type	'decimal',	@Column({
/opt/rh-saas/backend/src/modules/time-records/time-record.entity.ts	name	'event_type',	@Column({
/opt/rh-saas/backend/src/modules/time-records/time-record.entity.ts	timestamp	Date	@CreateDateColumn()
/opt/rh-saas/backend/src/modules/users/user.entity.ts	id	string	@PrimaryGeneratedColumn('uuid')
/opt/rh-saas/backend/src/modules/users/user.entity.ts	tenant	Tenant	@ManyToOne(() => Tenant) @JoinColumn({ name: 'tenant_id' })
/opt/rh-saas/backend/src/modules/users/user.entity.ts	tenantId	string	@Column({ name: 'tenant_id' })
/opt/rh-saas/backend/src/modules/users/user.entity.ts	email	string	@Column()
/opt/rh-saas/backend/src/modules/users/user.entity.ts	passwordHash	string	@Column()
/opt/rh-saas/backend/src/modules/users/user.entity.ts	type	'varchar',	@Column({
/opt/rh-saas/backend/src/modules/users/user.entity.ts	isActive	boolean	@Column({ default: true })
/opt/rh-saas/backend/src/modules/users/user.entity.ts	name	'last_login_at',	@Column({
/opt/rh-saas/backend/src/modules/users/user.entity.ts	name	'created_at',	@CreateDateColumn({
/opt/rh-saas/backend/src/modules/users/user.entity.ts	name	'updated_at',	@UpdateDateColumn({
